     Adressen         :       Inhalt
[ i][ j]   Dez  (Hex) :      Dez  (Hex)
----------------------------------------
[ 0][ 0]     0   (00) :    -9957  (D91B)
[ 0][ 1]     1   (01) :    17516  (446C)
[ 0][ 2]     2   (02) :   -14375  (C7D9)
[ 0][ 3]     3   (03) :    -8132  (E03C)
[ 0][ 4]     4   (04) :   -12934  (CD7A)
[ 0][ 5]     5   (05) :     9606  (2586)
[ 0][ 6]     6   (06) :     3638  (0E36)
[ 0][ 7]     7   (07) :      -10  (FFF6)
[ 0][ 8]     8   (08) :    -3935  (F0A1)
[ 0][ 9]     9   (09) :     -575  (FDC1)
[ 0][10]    10   (0A) :    -9026  (DCBE)
[ 0][11]    11   (0B) :      529  (0211)
[ 0][12]    12   (0C) :   -26788  (975C)
[ 0][13]    13   (0D) :     7076  (1BA4)
[ 0][14]    14   (0E) :   -13984  (C960)
[ 0][15]    15   (0F) :     6019  (1783)
[ 1][ 0]    16   (10) :     6675  (1A13)
[ 1][ 1]    17   (11) :    13777  (35D1)
[ 1][ 2]    18   (12) :     -133  (FF7B)
[ 1][ 3]    19   (13) :    12176  (2F90)
[ 1][ 4]    20   (14) :     9960  (26E8)
[ 1][ 5]    21   (15) :     1207  (04B7)
[ 1][ 6]    22   (16) :     -574  (FDC2)
[ 1][ 7]    23   (17) :    14934  (3A56)
[ 1][ 8]    24   (18) :    -8962  (DCFE)
[ 1][ 9]    25   (19) :    -8238  (DFD2)
[ 1][10]    26   (1A) :     -814  (FCD2)
[ 1][11]    27   (1B) :   -18028  (B994)
[ 1][12]    28   (1C) :    -8003  (E0BD)
[ 1][13]    29   (1D) :   -11390  (D382)
[ 1][14]    30   (1E) :     3112  (0C28)
[ 1][15]    31   (1F) :      712  (02C8)
[ 2][ 0]    32   (20) :   -19266  (B4BE)
[ 2][ 1]    33   (21) :    12557  (310D)
[ 2][ 2]    34   (22) :     -298  (FED6)
[ 2][ 3]    35   (23) :   -13389  (CBB3)
